I_N;I_Co;I_Co2;Espece;Genre;Famille;I_Ci;I_D;I_R;I_Lo;I_La;F_N;F_M_F;F_M_S;F_T_M_S;F_S;F_S_S;F_M_P;F_A;F_B;F_Ba;F_Cd;F_Cu;F_Fe;F_K;F_Li;F_Mg;F_Mn;F_Ni;F_P;F_Pb;F_Zn;R_M_S;R_L;R_L_S;R_V;R_D_T;R_D;R_M_P;R_Al;R_B;R_Ba;R_Ca;R_Cd;R_Cu;R_Fe;R_K;R_Li;R_Mg;R_Mn;R_Ni;R_P;R_Pb;R_Zn;S_M_P;S_M_C;S_pH;S_C;S_M_E;S_Al;S_As;S_B;S_Ca;S_Cd;S_Co;S_Cr;S_Cu;S_K;S_Mg;S_Mn;S_Ni;S_P;S_Pb;S_Zn;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;1;0,4161;0,1379;0,331410719;40,476;293,5170413;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;2;0,9882;0,3308;0,334750051;94,882;286,8258767;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;3;0,5359;0,1718;0,320582198;51,322;298,7310827;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;4;0,7828;0,2456;0,313745529;92,867;378,1229642;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;5;0,6155;0,208;0,337936637;70,449;338,6971154;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;6;0,5223;0,1691;0,323760291;53,642;317,2205795;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;7;0,62;0,2129;0,343387097;63,13;296,5241898;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;8;0,2542;0,0842;0,331235248;28,671;340,5106888;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;9;0,244;0,082;0,336065574;27,155;331,1585366;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
1;Que_Rub_1;Que_Rub_1;Que_Rub;Que;Fagaceae;97;30,87605896;4;4,35798333;50,78380000;10;0,582;0,1799;0,309106529;57,866;321,6564758;0,3094;58,8123908;35,8804003;8,59822889;0,05377194;10,5073226;176,483926;20077,2534;0,0966813;1085,20526;143,150494;6,56977263;1674,01298;0,80808292;30,3255605;0,1755;3805,158;21,68181197;1085,602;0,161661456;0,543;0,3374;1618,27986;14,1196895;33,9772771;4710,92977;0,62565775;12,083836;1125,03956;4769,26972;0,17490269;1198,3913;226,507098;5,21722396;1978,2707;34,2412168;51,5929211;223,75;0;3,97;123,9;10,02;254,012722;0,03688529;0,21428845;384,332669;0,06568586;0,22322156;0,29116536;1,94707217;75,8941573;60,9432317;16,6004085;0,43653265;11,7267701;9,16937762;3,77587772;;;
